KLM Operator,M originally inserted before this operator,M deleted? (Rule #),Time,Comment
"one of (possibly) K,P,H,W,R ",yes or no,"no, or one of 1-5","time for this action (incl. M, if present) ",your explanation of why a rule applies or not (not required - only if you are in doubt) 
K,yes, Rule 1,1,We anticipate the next value we want to type because we are expert users
P,yes, Rule 1,38.55,Because there there is repetition of pressing the same button multiple times
H,no,no,1.6,hand from GUI to keyboard time is anticipated - it's intuitive
W,yes, Rule 1,7.9,because we are scrolling in the same way consecutively
,,Overall Time:,49.05,
